"Region","Species","Conservation.Unit","Current.Spawner.Abundance","Years","Years.of.Data","Percentile","SR","Probability.of.Red.Status","Probability.of.Amber.Status","Probability.of.Green.Status","WSP","WSP.Year","COSEWIC","COSEWIC.Year","Province","Province.Year","S25","S50","Sgen","Smsy"
"Skeena","Lake sockeye","Bear","4,484","2018-2021","48","good","poor","9966.66%","4.76%","28.58%"," "," "," "," "," "," ","680 (370 - 1,350)","2,007 (943 - 2,985)","7,777 (5,822 - 8,323)","14,984 (8,111 - 20,856)"
"Skeena","Lake sockeye","Bulkley/Maxan"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Damshilgwit","363","2018-2022","22","fair","poor","6856.39%","2181.47%","962.13%"," "," "," "," "," "," ","294 (214 - 325)","366 (332 - 417)","385 (293 - 424)","540 (266 - 789)"
"Skeena","Lake sockeye","Ecstall/Lower"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Footsore/Hodder"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Gitanyow (Kitwanga/Kitwancool)","426","2018-2022","35","fair","poor","10000%","0%","0%"," "," "," "," "," "," ","378 (264 - 729)","828 (584 - 1,817)","6,854 (4,661 - 7,521)","16,496 (10,668 - 21,024)"
"Skeena","Lake sockeye","Johanson"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Johnston","436","2018-2022","33","poor"," "," "," "," "," "," "," "," "," "," ","1,000 (466 - 1,384)","1,500 (1,002 - 3,174)"," ",""
"Skeena","Lake sockeye","Kitsumkalum","23,690","2018-2022","60","good","good","0%","0%","10000%"," "," "," "," "," "," ","2,137 (2,082 - 15,073)","6,394 (4,437 - 28,480)","3,646 (3,135 - 4,047)","8,706 (7,426 - 10,026)"
"Skeena","Lake sockeye","Kluatantan"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Kluayaz"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Lakelse","8,530","2018-2022","61","fair","fair","0%","9130.95%","869.05%"," "," "," "," "," "," ","6,563 (5,268 - 11,231)","11,376 (9,540 - 17,505)","6,914 (6,385 - 7,350)","10,709 (7,653 - 13,220)"
"Skeena","Lake sockeye","Mcdonell/Dennis/Aldrich","2,485","2018-2022","53","fair","good","0%","0%","10000%"," "," "," "," "," "," ","1,500 (1,120 - 3,069)","3,736 (3,233 - 4,265)","631 (528 - 722)","1,872 (1,674 - 2,054)"
"Skeena","Lake sockeye","Morice/Atna","24,295","2018-2022","62","good","poor","9995.24%","2.38%","2.38%"," "," "," "," "," "," ","3,924 (1,844 - 7,523)","7,216 (4,072 - 14,908)","36,652 (31,545 - 39,024)","69,498 (46,241 - 87,048)"
"Skeena","Lake sockeye","Motase","302","2018-2022","36","fair","poor","9333.33%","576.19%","90.48%"," "," "," "," "," "," ","208 (123 - 268)","350 (275 - 462)","336 (294 - 373)","564 (342 - 760)"
"Skeena","Lake sockeye","Nilkitkwa","62,572","2018-2022","63","poor"," "," "," "," "," "," "," "," "," "," ","112,569 (77,265 - 142,895)","163,178 (126,070 - 225,431)"," ",""
"Skeena","Lake sockeye","Prudhomme"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1,436 (968 - 1,991)","2,463 (2,029 - 3,031)"
"Skeena","Lake sockeye","Shawatlan"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," ","764 (376 - 1,484)","1,669 (1,353 - 2,495)"
"Skeena","Lake sockeye","Sicintine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Slamgeesh"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Spawning"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Stephens","4,749","2018-2022","60","poor","good","0%","0%","10000%"," "," "," "," "," "," ","5,081 (3,355 - 6,105)","7,809 (6,043 - 8,077)","913 (683 - 1,205)","3,654 (3,135 - 4,261)"
"Skeena","Lake sockeye","Sustut"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Tahlo/Morrison","10,949","2018-2022","63","fair"," "," "," "," "," "," "," "," "," "," ","8,223 (7,063 - 12,381)","16,545 (12,548 - 22,579)"," ",""
"Skeena","Pink (even)","Middle-Upper Skeena (even)","160,195","2016-2016","32","fair","fair","4414.29%","5578.57%","7.14%"," "," "," "," "," "," ","158,829 (103,739 - 260,810)","252,856 (186,292 - 496,838)","132,504 (55,206 - 310,835)","302,220 (195,213 - 547,707)"
"Skeena","Pink (even)","Nass-Skeena Estuary (even)","6,047,266","2022-2022","67","good","good","0%","0%","10000%"," "," "," "," "," "," ","681,988 (435,489 - 1,171,122)","1,145,818 (876,133 - 2,111,581)","256,113 (136,065 - 524,467)","721,321 (569,238 - 1,027,098)"
"Skeena","Pink (odd)","Lower Skeena River (odd)","176,055","2017-2017","32","poor","poor","9688.1%","311.9%","0%"," "," "," "," "," "," ","567,705 (432,014 - 884,958)","995,218 (661,722 - 1,728,393)","307,984 (139,887 - 713,300)","813,326 (571,583 - 1,368,119)"
"Skeena","Pink (odd)","Middle-Upper Skeena (odd)","853,053","2017-2017","32","good","good","119.05%","2628.57%","7252.38%"," "," "," "," "," "," ","558,574 (360,106 - 850,947)","790,940 (656,593 - 1,230,337)","288,008 (129,313 - 616,240)","692,639 (489,359 - 1,155,212)"
"Skeena","Pink (odd)","Nass-Skeena Estuary (odd)","104,406","2017-2017","32","fair","fair","0%","8028.57%","1971.43%"," "," "," "," "," "," ","86,792 (43,412 - 140,101)","114,406 (77,721 - 261,151)","37,269 (26,936 - 49,895)","115,452 (90,333 - 136,805)"
"Skeena","River sockeye","Skeena River-High Interior (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","River sockeye","Skeena River (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Babine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Bulkley","27,186","2008-2012","14","good"," "," "," "," "," "," "," "," "," "," ","15,740 (15,054 - 17,524)","22,061 (17,357 - 25,301)"," ",""
"Skeena","Steelhead","Kispiox"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Middle Skeena"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Morice","27,186","2008-2012","14","good"," "," "," "," "," "," "," "," "," "," ","15,740 (15,022 - 17,565)","22,061 (17,439 - 25,327)"," ",""
"Skeena","Steelhead","Skeena Coastal Summers"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Skeena Coastal Winters"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Suskwa"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Upper Skeena"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Upper Skeena Headwaters"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Upper Sustut","258","2018-2022","29","poor"," "," "," "," "," "," "," "," ","Conservation Concern","2018","299 (229 - 500)","731 (408 - 791)"," ",""
"Nass","Chinook","Portland Sound-Observatory Inlet-Lower Nass","2,052","2018-2022","37","good","good","0%","0%","10000%"," "," "," "," "," "," ","1,110 (1,044 - 1,322)","1,503 (1,339 - 1,912)","335 (219 - 508)","897 (785 - 1,053)"
"Nass","Chinook","Upper Nass","12,294","2018-2022","37","fair","good","0%","14.29%","9985.71%"," "," "," "," "," "," ","11,509 (9,420 - 13,551)","16,808 (13,433 - 18,845)","2,182 (1,308 - 3,940)","8,223 (7,109 - 9,802)"
"Nass","Chum","Lower Nass","11,874","2013-2016","30","fair","poor","8373.58%","782.68%","843.74%"," "," "," "," "," "," ","6,775 (3,837 - 22,272)","18,699 (10,973 - 57,138)","16,482 (199 - 75,367)","1,504 (0 - 115,993)"
"Nass","Chum","Portland Canal-Observatory","72,939","2019-2022","69","good","good","0%","0%","10000%"," "," "," "," "," "," ","18,461 (14,199 - 27,968)","35,574 (24,935 - 45,757)","9,105 (5,538 - 15,266)","23,510 (19,178 - 30,947)"
"Nass","Chum","Portland Inlet","17,552","2016-2019","65","fair","good","2.38%","747.62%","9250%"," "," "," "," "," "," ","13,311 (10,912 - 16,314)","20,263 (16,358 - 22,711)","5,607 (3,732 - 9,508)","14,118 (11,942 - 18,407)"
"Nass","Coho","Lower Nass","36,775","2020-2022","31","good","fair","123.81%","9876.19%","0%"," "," "," "," "," "," ","12,496 (8,581 - 17,961)","23,700 (18,382 - 32,068)","16,428 (9,730 - 29,954)","52,985 (42,423 - 78,283)"
"Nass","Coho","Portland Sound-Observatory Inlet-Portland Canal","41,247","2020-2022","31","good","good","16.67%","3895.24%","6088.1%"," "," "," "," "," "," ","20,288 (11,269 - 23,829)","27,179 (23,782 - 32,192)","8,997 (4,373 - 21,780)","36,105 (26,692 - 60,014)"
"Nass","Coho","Upper Nass","89,227","2020-2022","31","good","good","0%","0%","10000%"," "," "," "," "," "," ","48,562 (43,237 - 57,031)","71,137 (58,537 - 84,880)","1,067 (461 - 2,181)","5,847 (4,582 - 8,192)"
"Nass","Lake sockeye","Bowser"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Lake sockeye","Clements"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Lake sockeye","Damdochax","5,197","2018-2022","40","good","good","0%","0%","10000%"," "," "," "," "," "," ","1,668 (897 - 2,184)","2,184 (1,905 - 3,456)","359 (206 - 524)","2,452 (2,053 - 2,939)"
"Nass","Lake sockeye","Fred Wright","3,007","2018-2022","38","fair","fair","0%","10000%","0%"," "," "," "," "," "," ","1,556 (894 - 2,746)","5,058 (2,641 - 7,431)","369 (208 - 624)","5,078 (4,290 - 6,090)"
"Nass","Lake sockeye","Kwinageese"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Lake sockeye","Leverson"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Lake sockeye","Meziadin","159,003","2018-2022","41","good","good","0%","0%","10000%"," "," "," "," "," "," ","126,468 (108,968 - 144,821)","158,010 (137,925 - 179,258)","19,782 (13,522 - 26,168)","111,156 (98,196 - 125,977)"
"Nass","Lake sockeye","Oweegee"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Pink (even)","Upper Nass (even)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Pink (odd)","Nass-Portland-Observatory (odd)","900,891","2021-2021","34","good","good","0%","0%","10000%"," "," "," "," "," "," ","254,901 (136,404 - 588,524)","483,718 (291,787 - 929,819)","90,896 (62,978 - 121,438)","326,647 (265,950 - 379,750)"
"Nass","Pink (odd)","Upper Nass (odd)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","River sockeye","Lower Nass-Portland (river-type)","28,265","2019-2022","41","good","good","0%","0%","10000%"," "," "," "," "," "," ","2,701 (2,107 - 7,482)","7,097 (4,587 - 15,291)","285 (76 - 896)","3,256 (2,494 - 4,580)"
"Nass","River sockeye","Upper Nass River (river-type)","428","2019-2022","23","good"," "," "," "," "," "," "," "," "," "," ","197 (74 - 209)","351 (196 - 387)"," ",""
"Nass","Steelhead","Nass Summer","10,366","2018-2022","29","fair"," "," "," "," "," "," "," "," "," "," ","7,924 (6,300 - 10,644)","11,863 (10,089 - 15,440)"," ",""
"Nass","Steelhead","Nass Winter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Chinook","Bella Coola-Bentinck","22,821","2013-2017","33","good","good","0%","0%","10000%"," "," "," "," "," "," ","14,425 (11,238 - 16,820)","20,800 (15,403 - 21,260)","3,168 (2,358 - 4,114)","9,731 (8,747 - 10,770)"
"Central Coast","Chinook","Dean River","2,217","2013-2017","33","good","good","0%","0%","10000%"," "," "," "," "," "," ","1,300 (1,076 - 1,534)","2,000 (1,529 - 2,403)","290 (162 - 539)","968 (821 - 1,224)"
"Central Coast","Chinook","Docee","439","2008-2011","30","poor"," "," "," "," "," "," "," "," "," "," ","469 (416 - 641)","781 (647 - 970)"," ",""
"Central Coast","Chinook","North & Central Coast-Early","891","2013-2017","33","good","good","0%","0%","10000%"," "," "," "," "," "," ","602 (379 - 644)","702 (605 - 922)","107 (64 - 201)","397 (326 - 508)"
"Central Coast","Chinook","North & Central Coast-Late","1,080","2017-2020","27","fair"," "," "," "," "," "," "," "," "," "," ","600 (271 - 857)","1,716 (735 - 1,806)"," ",""
"Central Coast","Chinook","Rivers Inlet","817","2013-2017","38","fair","fair","683.33%","8952.38%","364.29%"," "," "," "," "," "," ","726 (473 - 1,080)","1,381 (882 - 1,909)","457 (251 - 897)","1,000 (740 - 1,468)"
"Central Coast","Chinook","Wannock","6,468","2013-2017","38","fair","good","0%","0%","10000%"," "," "," "," "," "," ","5,535 (4,092 - 5,893)","6,599 (5,781 - 7,540)","805 (441 - 1,375)","2,993 (2,623 - 3,724)"
"Central Coast","Chum","Bella Coola-Dean Rivers","115,116","2018-2021","68","fair","good","0%","3185.71%","6814.29%"," "," "," "," "," "," ","109,704 (83,229 - 154,758)","185,662 (154,505 - 234,673)","25,418 (14,548 - 45,654)","108,080 (88,848 - 135,634)"
"Central Coast","Chum","Bella Coola River-Late","6,325","2018-2021","19","fair"," "," "," "," "," "," "," "," "," "," ","5,084 (2,944 - 6,489)","9,338 (6,142 - 14,433)"," ",""
"Central Coast","Chum","Douglas-Gardner","54,355","2018-2021","68","poor","poor","5785.71%","4214.29%","0%"," "," "," "," "," "," ","77,727 (57,239 - 116,863)","150,030 (108,364 - 213,549)","53,170 (37,299 - 85,963)","134,373 (111,971 - 176,046)"
"Central Coast","Chum","Hecate Lowlands","33,474","2018-2021","68","poor","poor","6576.19%","3423.81%","0%"," "," "," "," "," "," ","72,369 (57,358 - 83,923)","96,120 (82,929 - 110,532)","33,348 (19,907 - 67,578)","75,106 (58,037 - 115,274)"
"Central Coast","Chum","Mussel-Kynoch","21,837","2018-2021","68","poor","fair","2004.76%","7995.24%","0%"," "," "," "," "," "," ","50,880 (40,214 - 70,922)","104,354 (65,514 - 115,129)","17,645 (10,219 - 27,747)","50,561 (43,273 - 61,676)"
"Central Coast","Chum","Rivers Inlet","4,396","2018-2021","66","poor","poor","9997.62%","2.38%","0%"," "," "," "," "," "," ","7,809 (4,161 - 11,728)","15,945 (10,256 - 27,017)","9,072 (5,778 - 13,654)","22,376 (17,747 - 29,044)"
"Central Coast","Chum","Smith Inlet","6,547","2018-2021","67","poor","poor","8892.86%","1107.14%","0%"," "," "," "," "," "," ","22,959 (11,015 - 30,033)","36,793 (24,355 - 54,518)","8,474 (5,018 - 14,369)","24,524 (20,748 - 31,215)"
"Central Coast","Chum","Spiller-Fitz-Hugh-Burke","91,839","2018-2021","68","poor","fair","976.19%","9023.81%","0%"," "," "," "," "," "," ","161,904 (130,659 - 196,278)","231,612 (187,813 - 253,573)","61,423 (38,712 - 103,585)","135,621 (114,072 - 177,172)"
"Central Coast","Chum","Wannock"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Coho","Bella Coola-Dean Rivers","19,375","2019-2021","68","poor","fair","42.86%","6907.14%","3050%"," "," "," "," "," "," ","19,703 (13,737 - 22,633)","31,366 (25,500 - 40,178)","8,683 (5,572 - 14,626)","19,874 (16,254 - 25,607)"
"Central Coast","Coho","Douglas Channel-Kitimat Arm","113,392","2019-2021","59","good","good","0%","0%","10000%"," "," "," "," "," "," ","37,656 (31,548 - 58,226)","78,595 (54,460 - 94,763)","7,089 (3,566 - 14,191)","34,768 (29,261 - 44,569)"
"Central Coast","Coho","Hecate Strait Mainland","40,107","2019-2021","68","poor","poor","10000%","0%","0%"," "," "," "," "," "," ","64,740 (42,948 - 109,852)","116,389 (69,697 - 173,501)","72,271 (51,007 - 117,002)","99,534 (75,704 - 140,704)"
"Central Coast","Coho","Mussel-Kynoch","2,207","2019-2021","65","poor","poor","8961.9%","1038.1%","0%"," "," "," "," "," "," ","2,880 (1,943 - 3,900)","4,767 (3,463 - 6,146)","2,754 (1,698 - 5,088)","4,614 (3,271 - 7,090)"
"Central Coast","Coho","Northern Coastal Streams","72,291","2019-2021","68","poor","good","7.14%","2695.24%","7297.62%"," "," "," "," "," "," ","73,400 (60,610 - 88,815)","105,053 (84,443 - 120,997)","36,002 (26,144 - 52,891)","68,100 (57,856 - 82,131)"
"Central Coast","Coho","Rivers Inlet","137,001","2011-2013","48","good"," "," "," "," "," "," "," "," "," "," ","14,582 (8,746 - 22,140)","30,750 (20,340 - 50,263)"," ",""
"Central Coast","Coho","Smith Inlet","9,038","2012-2014","35","good"," "," "," "," "," "," "," "," "," "," ","1,966 (2,026 - 8,617)","6,505 (4,736 - 16,400)"," ",""
"Central Coast","Lake sockeye","Backland","36","2017-2021","32","poor","poor","9990.38%","0%","9.62%"," "," "," "," "," "," ","38 (12 - 33)","60 (28 - 60)","243 (128 - 346)","459 (101 - 844)"
"Central Coast","Lake sockeye","Banks"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Bloomfield","810","2021-2021","59","good","fair","638.1%","8507.14%","854.76%"," "," "," "," "," "," ","405 (238 - 659)","800 (492 - 1,368)","399 (213 - 874)","1,003 (674 - 1,697)"
"Central Coast","Lake sockeye","Bolton Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Bonilla"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Borrowman Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Busey Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Canoona","3,305","2018-2021","47","good","good","0%","45.24%","9954.76%"," "," "," "," "," "," ","1,400 (1,237 - 2,682)","3,210 (2,367 - 4,436)","541 (315 - 1,022)","1,885 (1,528 - 2,599)"
"Central Coast","Lake sockeye","Cartwright Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Chic Chic"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Curtis Inlet","2,710","2013-2015","47","poor"," "," "," "," "," "," "," "," "," "," ","3,100 (1,949 - 6,052)","7,000 (5,115 - 11,342)"," ",""
"Central Coast","Lake sockeye","Dallain Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Deer"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Devon","5,018","2013-2017","53","fair","good","2.38%","42.86%","9954.76%"," "," "," "," "," "," ","3,000 (2,353 - 4,839)","6,000 (5,130 - 7,370)","1,666 (1,091 - 2,573)","3,346 (2,787 - 4,315)"
"Central Coast","Lake sockeye","Dome"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Douglas Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Elizabeth"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Elsie/Hoy"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","End Hill Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Evelyn","1,300","2017-2021","64","fair","good","88.1%","2600%","7311.9%"," "," "," "," "," "," ","600 (419 - 1,045)","1,480 (891 - 1,795)","354 (186 - 841)","1,082 (782 - 1,805)"
"Central Coast","Lake sockeye","Evinrude Inlet"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Fannie Cove"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Freeda","600","2020-2020","28","good"," "," "," "," "," "," "," "," "," "," ","400 (370 - 407)","460 (423 - 723)"," ",""
"Central Coast","Lake sockeye","Hartley Bay","1,145","2017-2021","55","good","good","0%","69.05%","9930.95%"," "," "," "," "," "," ","800 (646 - 944)","1,000 (915 - 1,413)","236 (148 - 433)","750 (623 - 994)"
"Central Coast","Lake sockeye","Hevenor Inlet"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Higgins Lagoon"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kadjusdis River","3,800","2017-2021","52","good","good","0%","0%","10000%"," "," "," "," "," "," ","1,150 (867 - 1,948)","2,288 (1,687 - 3,552)","361 (237 - 565)","2,056 (1,688 - 2,423)"
"Central Coast","Lake sockeye","Kainet Creek","1,151","2017-2021","59","fair","fair","9.52%","6711.9%","3278.57%"," "," "," "," "," "," ","850 (509 - 1,251)","1,500 (1,024 - 2,102)","213 (111 - 469)","1,162 (891 - 1,718)"
"Central Coast","Lake sockeye","Kdelmashan Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Keecha","2,284","2014-2017","40","fair","fair","0%","7826.19%","2173.81%"," "," "," "," "," "," ","1,900 (1,346 - 2,896)","4,000 (2,884 - 5,666)","708 (453 - 1,044)","2,433 (1,902 - 3,067)"
"Central Coast","Lake sockeye","Kent Inlet Lagoon Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kenzuwash Creeks"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Keswar Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kildidt Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kildidt Lagoon Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
