"Region","Species","Conservation.Unit","Current.Spawner.Abundance","Years","Years.of.Data","Percentile","SR","Probability.of.Red.Status","Probability.of.Amber.Status","Probability.of.Green.Status","WSP","WSP.Year","COSEWIC","COSEWIC.Year","Province","Province.Year","S25","S50","Sgen","Smsy"
"Skeena","Chinook","Ecstall","1,514","2000-2001","16","fair"," "," "," "," "," "," "," "," "," "," ","1,311 (985 - 1,385)","1,748 (1,297 - 2,032)"," ",""
"Skeena","Chinook","Kalum-Early","837","2006-2011","31","poor"," "," "," "," "," "," "," "," "," "," ","890 (670 - 1,066)","1,138 (1,028 - 1,371)"," ",""
"Skeena","Chinook","Kalum-Late","8,125","2012-2017","37","poor","good","0%","316.67%","9683.33%"," "," "," "," "," "," ","9,892 (7,973 - 13,000)","12,527 (11,748 - 16,604)","1,074 (633 - 2,057)","6,622 (5,668 - 8,094)"
"Skeena","Chinook","Lakelse"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Chinook","Lower Skeena","542","2009-2013","37","poor","fair","1033.33%","8966.67%","0%"," "," "," "," "," "," ","892 (638 - 1,109)","1,416 (1,024 - 1,650)","266 (105 - 670)","918 (693 - 1,434)"
"Skeena","Chinook","Middle Skeena-Large Lakes","20,788","2012-2017","37","fair","good","0%","309.52%","9690.48%"," "," "," "," "," "," ","19,371 (14,928 - 25,113)","28,669 (24,258 - 32,680)","3,559 (1,853 - 6,921)","15,795 (12,750 - 20,254)"
"Skeena","Chinook","Middle Skeena-Mainstem Tributaries","5,129","2012-2017","37","poor","good","2.38%","4902.38%","5095.24%"," "," "," "," "," "," ","5,465 (5,023 - 7,790)","8,281 (6,896 - 11,016)","1,032 (559 - 1,837)","4,973 (4,175 - 6,196)"
"Skeena","Chinook","Skeena Estuary"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Chinook","Upper Bulkley River","1,927","2001-2006","26","good"," "," "," "," "," "," "," "," "," "," ","536 (368 - 817)","968 (656 - 1,472)"," ",""
"Skeena","Chinook","Upper Skeena"," ","","37"," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Chinook","Zymoetz"," ","","37"," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Chum","Lower Skeena","1,824","2014-2017","61","poor","poor","10000%","0%","0%"," "," "," "," "," "," ","6,265 (3,731 - 8,221)","10,271 (7,314 - 13,744)","4,346 (3,204 - 5,477)","10,022 (7,964 - 12,383)"
"Skeena","Chum","Middle Skeena","861","2014-2017","57","fair"," "," "," "," "," "," "," "," "," "," ","665 (311 - 880)","1,265 (595 - 1,673)"," ",""
"Skeena","Chum","Skeena Estuary","407","2016-2017","40","fair"," "," "," "," "," "," "," "," "," "," ","327 (265 - 1,074)","1,093 (671 - 2,318)"," ",""
"Skeena","Chum","Upper Skeena"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Coho","Lower Skeena","66,743","2015-2017","63","fair","poor","8276.19%","1723.81%","0%"," "," "," "," "," "," ","63,168 (49,783 - 90,755)","115,767 (78,652 - 142,186)","75,171 (46,607 - 153,263)","153,662 (106,605 - 259,750)"
"Skeena","Coho","Middle Skeena","167,245","2015-2017","64","good","good","0%","4.76%","9995.24%"," "," "," "," "," "," ","50,513 (30,344 - 76,301)","74,298 (57,426 - 121,253)","26,291 (16,363 - 43,837)","78,032 (62,105 - 106,060)"
"Skeena","Coho","Skeena Estuary","4,457","2013-2014","52","poor"," "," "," "," "," "," "," "," "," "," ","4,659 (3,740 - 6,180)","7,493 (5,640 - 9,398)"," ",""
"Skeena","Coho","Upper Skeena","12,914","2015-2017","34","good","good","21.43%","92.86%","9885.71%"," "," "," "," "," "," ","5,848 (6,290 - 8,535)","8,578 (8,339 - 12,221)","2,303 (990 - 5,246)","6,198 (4,751 - 9,694)"
"Skeena","Lake sockeye","Alastair","5,721","2017-2022","63","poor","fair","0%","10000%","0%"," "," "," "," "," "," ","8,872 (4,947 - 12,181)","15,526 (11,817 - 19,595)","4,372 (3,875 - 4,748)","8,945 (7,323 - 10,240)"
"Skeena","Lake sockeye","Asitika","645","2018-2022","37","good","good","0%","0%","10000%"," "," "," "," "," "," ","260 (107 - 419)","600 (412 - 946)","76 (29 - 88)","206 (104 - 296)"
"Skeena","Lake sockeye","Azuklotz","4,231","2018-2022","53","good","good","0%","0%","10000%"," "," "," "," "," "," ","1,025 (520 - 1,611)","2,769 (1,526 - 3,502)","1,097 (861 - 1,226)","2,419 (1,659 - 3,028)"
"Skeena","Lake sockeye","Babine (enhanced)","329,076","2018-2022","63","good"," "," "," "," "," "," "," "," "," "," ","191,008 (165,552 - 261,991)","317,178 (251,498 - 336,625)"," ",""
"Skeena","Lake sockeye","Babine/Onerka","16,113","2018-2022","63","poor"," "," "," "," "," "," "," "," "," "," ","26,766 (20,271 - 33,398)","42,435 (32,269 - 53,943)"," ",""
