"Region","Species","Species.Qualified","Conservation.Unit","High.Risk","Moderate.Risk","Low.Risk"
"West Vancouver Island","Sockeye","SEL","Hobiton","0%","0%","100%"
"West Vancouver Island","Sockeye","SEL","Jansen","100%","0%","0%"
"West Vancouver Island","Sockeye","SEL","Kanim","100%","0%","0%"
"West Vancouver Island","Sockeye","SEL","Kennedy","41%","43%","16%"
"West Vancouver Island","Sockeye","SEL","Maggie","51%","49%","0%"
"West Vancouver Island","Sockeye","SEL","Megin","0%","0%","100%"
"West Vancouver Island","Sockeye","SEL","Muchalat","32%","56%","12%"
"West Vancouver Island","Sockeye","SEL","Muriel","100%","0%","0%"
"West Vancouver Island","Sockeye","SER","NW Vancouver Island (river-type)","54%","34%","12%"
"West Vancouver Island","Sockeye","SEL","Nitinat","35%","57%","8%"
"West Vancouver Island","Sockeye","SEL","O'Connell","100%","0%","0%"
"West Vancouver Island","Sockeye","SEL","Park River","100%","0%","0%"
"West Vancouver Island","Sockeye","SEL","Power","0%","0%","100%"
"West Vancouver Island","Sockeye","SEL","Sproat","49%","51%","0%"
"West Vancouver Island","Sockeye","SER","West Vancouver Island (river-type)","47%","36%","17%"
"West Vancouver Island","Sockeye","SEL","William-Brink","0%","100%","0%"
"West Vancouver Island","Steelhead","SH","West Vancouver Island Summer","48%","36%","16%"
"West Vancouver Island","Steelhead","SH","West Vancouver Island Winter","48%","41%","11%"
