"Region","Species","Conservation.Unit","Current.Spawner.Abundance","Years","Years.of.Data","percentile_status","percentile_red_prob","percentile_yellow_prob","percentile_green_prob","sr_status","sr_red_prob","sr_yellow_prob","sr_green_prob","WSP","WSP.Year","COSEWIC","COSEWIC.Year","Province","Province.Year","S25","S50","Sgen","Smsy"
"Vancouver Island & Mainland Inlets","River sockeye","Southern Fjords (river-type)"," ",""," "," ","0.12","41.78","58.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","River sockeye","West Vancouver Island (river-type)"," ",""," "," ","0.12","41.78","58.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Steelhead","East Vancouver Island Summer","74","2020-2024","49","poor","96.16","3.84","0"," "," "," "," "," "," "," "," "," "," ","103 (72 - 132)","149 (118 - 200)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","East Vancouver Island Winter","218","2019-2023","25","poor","98.36","1.64","0"," "," "," "," "," "," "," "," "," "," ","282 (222 - 300)","354 (288 - 381)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","South Coast Summer"," ",""," "," ","98.36","1.64","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Steelhead","South Coast Winter","518","2016-2020","24","good","0","0.84","99.16"," "," "," "," "," "," "," "," "," "," ","319 (210 - 367)","390 (342 - 495)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","West Vancouver Island Summer","206","2019-2023","37","poor","99.88","0.12","0"," "," "," "," "," "," "," "," "," "," ","478 (263 - 539)","686 (399 - 757)"," ",""
"Vancouver Island & Mainland Inlets","Steelhead","West Vancouver Island Winter"," ",""," "," ","98.36","1.64","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Chinook","East Haida Gwaii"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Chinook","North Haida Gwaii","6,488","2002-2006","25","good","0","0","100"," "," "," "," "," "," "," "," "," "," ","2,250 (1,319 - 2,905)","3,000 (2,455 - 4,287)"," ",""
"Haida Gwaii","Chum","East Haida Gwaii","32,215","2017-2021","67","poor","100","0","0","poor","99.7%","0.3%","0%"," "," "," "," "," "," ","107,288 (55,658 - 145,084)","172,969 (117,890 - 214,454)","63,342 (35,857 - 121,934)","108,067 (85,113 - 161,550)"
"Haida Gwaii","Chum","North Haida Gwaii","8,670","2015-2019","62","poor","98.4","1.6","0","poor","98.6%","1.4%","0%"," "," "," "," "," "," ","17,988 (9,152 - 26,789)","41,636 (20,997 - 51,533)","13,777 (8,997 - 20,815)","25,456 (19,796 - 33,109)"
"Haida Gwaii","Chum","North Haida Gwaii-Stanley Creek","311","2006-2010","43","fair","28.38","71.32","0.3"," "," "," "," "," "," "," "," "," "," ","300 (116 - 510)","750 (417 - 1,424)"," ",""
"Haida Gwaii","Chum","Skidegate","47,349","2017-2021","68","poor","82.28","17.72","0","fair","10.1%","84.8%","5.2%"," "," "," "," "," "," ","55,324 (40,358 - 71,146)","80,872 (67,865 - 101,593)","32,286 (20,833 - 53,650)","54,775 (43,988 - 74,310)"
"Haida Gwaii","Chum","West Haida Gwaii","42,474","2017-2021","68","poor","99.98","0.02","0","fair","5%","94.4%","0.6%"," "," "," "," "," "," ","64,860 (49,670 - 75,882)","87,667 (74,810 - 101,998)","29,972 (21,655 - 44,356)","50,977 (43,431 - 63,548)"
"Haida Gwaii","Coho","East Haida Gwaii","30,732","2019-2021","68","poor","99.92","0.08","0","poor","59%","41%","0%"," "," "," "," "," "," ","47,249 (37,977 - 59,449)","65,204 (56,263 - 80,863)","30,665 (21,566 - 47,864)","44,778 (36,772 - 61,325)"
"Haida Gwaii","Coho","Haida Gwaii-Graham Island Lowlands","69,362","2017-2019","60","poor","11.26","86.62","2.12","poor","62.7%","30.7%","6.5%"," "," "," "," "," "," ","69,454 (43,663 - 77,251)","106,524 (70,140 - 128,824)","66,257 (45,145 - 126,758)","89,599 (55,287 - 152,419)"
"Haida Gwaii","Coho","West Haida Gwaii","14,406","2018-2020","50","fair","22.16","77.24","0.6","good","4%","43.4%","52.6%"," "," "," "," "," "," ","11,808 (8,270 - 18,513)","25,148 (16,023 - 32,762)","8,485 (5,325 - 14,310)","13,790 (9,438 - 20,748)"
"Haida Gwaii","Lake sockeye","Ain-Skundale-Ian"," ",""," "," ","11.26","86.62","2.12"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Awun","6,714","2017-2021","62","good","0","6.36","93.64","good","0%","0%","100%"," "," "," "," "," "," ","2,100 (1,573 - 4,116)","5,100 (3,313 - 7,293)","1,383 (883 - 2,050)","2,945 (2,360 - 3,719)"
"Haida Gwaii","Lake sockeye","Fairfax"," ",""," "," ","0","6.36","93.64"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Jalun"," ",""," "," ","0","6.36","93.64"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Marian/Eden","2,249","2017-2021","60","poor","91.62","8.38","0","poor","98.2%","0.6%","1.2%"," "," "," "," "," "," ","3,000 (1,936 - 5,110)","7,000 (4,362 - 10,371)","3,767 (2,077 - 7,442)","5,857 (2,416 - 10,503)"
"Haida Gwaii","Lake sockeye","Marie"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Lake sockeye","Mathers","2,241","2014-2016","28","good","0","4.8","95.2"," "," "," "," "," "," "," "," "," "," ","950 (554 - 1,341)","2,000 (1,068 - 2,388)"," ",""
"Haida Gwaii","Lake sockeye","Mercer","5,024","2014-2018","54","fair","1.24","85.24","13.52","good","0%","0.4%","99.5%"," "," "," "," "," "," ","4,000 (2,784 - 4,851)","6,000 (4,482 - 7,325)","1,137 (643 - 2,216)","3,230 (2,755 - 4,205)"
"Haida Gwaii","Lake sockeye","Skidegate","11,184","2017-2021","67","fair","23.02","75.8","1.18","good","1.6%","28.4%","70%"," "," "," "," "," "," ","10,000 (6,292 - 13,854)","16,000 (11,782 - 22,146)","6,732 (4,441 - 9,983)","9,951 (8,013 - 13,769)"
"Haida Gwaii","Lake sockeye","Yakoun","4,952","2017-2021","63","poor","99.86","0.14","0","poor","61.1%","38.9%","0%"," "," "," "," "," "," ","7,000 (5,989 - 11,169)","14,000 (10,097 - 18,204)","5,015 (3,231 - 8,117)","8,245 (6,543 - 11,126)"
"Haida Gwaii","Pink (even)","East Haida Gwaii (even)","1,041,460","2020-2020","34","good","0","0.88","99.12","good","0%","0.1%","99.9%"," "," "," "," "," "," ","463,736 (336,430 - 706,915)","756,746 (553,821 - 984,626)","81,810 (1,091 - 234,627)","641 (0 - 246,561)"
"Haida Gwaii","Pink (even)","North Haida Gwaii (even)","1,376,401","2020-2020","33","good","0","0.24","99.76","good","0%","0%","100%"," "," "," "," "," "," ","429,222 (314,858 - 716,677)","724,076 (521,621 - 1,154,438)","113,679 (3,824 - 248,573)","3,296 (0 - 342,924)"
"Haida Gwaii","Pink (even)","West Haida Gwaii (even)","16,773","2020-2020","34","poor","100","0","0","poor","88.9%","0%","11.1%"," "," "," "," "," "," ","146,486 (45,918 - 173,648)","258,182 (97,847 - 287,669)","43,537 (324 - 264,774)","0 (0 - 181,575)"
"Haida Gwaii","Pink (odd)","East Haida Gwaii (odd)","38,954","2021-2021","34","fair","3.2","45.88","50.92","good","9.2%","2.9%","87.9%"," "," "," "," "," "," ","24,225 (11,951 - 40,141)","48,234 (21,134 - 76,103)","7,045 (60 - 53,122)","50 (0 - 22,559)"
"Haida Gwaii","Pink (odd)","North Haida Gwaii (odd)"," ",""," "," ","3.2","45.88","50.92"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Pink (odd)","West Haida Gwaii (odd)"," ",""," "," ","3.2","45.88","50.92"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","River sockeye","East Haida Gwaii (river-type)"," ",""," "," ","11.26","86.62","2.12"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","River sockeye","North Haida Gwaii (river-type)"," ",""," "," ","11.26","86.62","2.12"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","River sockeye","West Haida Gwaii (river-type)"," ",""," "," ","11.26","86.62","2.12"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Haida Gwaii","Steelhead","Haida Gwaii Winter"," ",""," "," ","3.2","45.88","50.92"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Columbia","Chinook","Okanagan","29","2018-2022","17","good","0","18.32","81.68"," "," "," "," ","Red","2012","Endangered","2017"," "," ","11 (7 - 17)","23 (15 - 35)"," ",""
"Columbia","Lake sockeye","Osoyoos","32,451","2019-2022","62","good","0","0.48","99.52"," "," "," "," "," "," "," "," "," "," ","12,284 (8,496 - 16,935)","17,913 (15,441 - 28,527)"," ",""
"Columbia","Steelhead","Mid Columbia Summer","9","2019-2023","18","poor","96.68","3.32","0"," "," "," "," "," "," "," "," "," "," ","11 (9 - 16)","24 (14 - 26)"," ",""
"Yukon","Chinook","Big Salmon","12,009","2014-2019","35","good","0","0","100","good","0%","0%","100%"," "," "," "," "," "," ","5,265 (4,546 - 6,252)","6,310 (6,032 - 8,620)","1,021 (623 - 1,819)","4,217 (3,532 - 5,379)"
"Yukon","Chinook","Middle Yukon","10,600","2014-2019","35","good","0","6.84","93.16","good","0%","0.2%","99.8%"," "," "," "," "," "," ","6,362 (4,592 - 7,598)","8,243 (7,193 - 11,183)","1,371 (742 - 2,640)","5,668 (4,504 - 7,555)"
"Yukon","Chinook","Nordenskiold"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Northern Yukon","7,395","2014-2019","35","good","0.06","36.46","63.48","good","0%","0.2%","99.8%"," "," "," "," "," "," ","4,060 (2,802 - 5,403)","7,327 (5,189 - 9,094)","596 (271 - 1,367)","3,451 (2,791 - 4,769)"
"Yukon","Chinook","Old Crow"," ",""," "," ","0.06","36.46","63.48"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Pelly","8,559","2014-2019","35","good","0","0.46","99.54","good","2.1%","9.3%","88.6%"," "," "," "," "," "," ","6,126 (5,118 - 6,593)","7,526 (6,987 - 8,407)","2,067 (867 - 6,543)","5,122 (3,624 - 10,851)"
"Yukon","Chinook","Porcupine"," ",""," "," ","0.06","36.46","63.48"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Salmon Fork"," ",""," "," ","0.06","36.46","63.48"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chinook","Stewart","3,833","2014-2019","35","good","0","11.86","88.14","good","6.4%","24.6%","69%"," "," "," "," "," "," ","2,504 (2,112 - 3,053)","3,546 (2,909 - 4,139)","1,431 (595 - 4,317)","2,916 (2,046 - 6,539)"
"Yukon","Chinook","Teslin","6,935","2014-2019","35","good","0","1.24","98.76","good","0%","0.6%","99.3%"," "," "," "," "," "," ","4,339 (3,877 - 5,153)","6,449 (5,553 - 6,845)","1,139 (590 - 2,594)","3,672 (2,957 - 5,575)"
"Yukon","Chinook","Upper Yukon","3,835","2014-2019","35","good","0","16.5","83.5","good","0%","0.4%","99.6%"," "," "," "," "," "," ","2,275 (1,459 - 2,697)","3,405 (2,556 - 4,378)","380 (183 - 852)","2,061 (1,658 - 2,866)"
"Yukon","Chinook","White","6,701","2014-2019","35","good","0","0","100","good","0.1%","0.6%","99.3%"," "," "," "," "," "," ","3,307 (2,928 - 3,974)","4,770 (4,026 - 5,641)","788 (339 - 2,194)","2,707 (1,980 - 4,640)"
"Yukon","Chum","Donjek Kluane"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Middle Yukon"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","North Yukon"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Porcupine"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Stewart"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","Teslin"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Chum","White"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Yukon","Coho","Porcupine"," ",""," "," ","0","1.24","98.76"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Alsek","4,974","2019-2023","48","poor","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," ","5,210 (3,118 - 7,096)","6,842 (4,735 - 10,321)"," ",""
"Northern Transboundary","Chinook","Lynn Canal"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Stikine-Early Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Stikine-Late Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Taku-Early Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Taku-Late Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Taku-Mid Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Unuk"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chinook","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Lower Stikine"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Lynn Canal"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Taku"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Unuk"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Chum","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Alsek"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Lower Stikine"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Lynn Canal"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Taku-Early Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Taku-Late Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Taku-Mid Timing"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Unuk"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Coho","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Blanchard"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Border"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Christina"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","Chutine"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Lake sockeye","King Salmon","7,532","2020-2023","20","good","0","0","100"," "," "," "," "," "," "," "," "," "," ","1,012 (386 - 2,665)","2,682 (1,221 - 3,956)"," ",""
"Northern Transboundary","Lake sockeye","Klukshu","15,297","2019-2023","48","good","0","15.4","84.6"," "," "," "," "," "," "," "," "," "," ","7,852 (5,753 - 11,565)","13,635 (10,031 - 17,011)"," ",""
"Northern Transboundary","Lake sockeye","Kuthai","388","2019-2023","34","poor","69.24","30.68","0.08"," "," "," "," "," "," "," "," "," "," ","656 (174 - 1,450)","1,562 (751 - 3,033)"," ",""
"Northern Transboundary","Lake sockeye","Little Trapper","8,358","2019-2023","41","fair","3.72","71.14","25.14"," "," "," "," "," "," "," "," "," "," ","6,376 (4,921 - 8,567)","9,522 (6,952 - 11,898)"," ",""
"Northern Transboundary","Lake sockeye","Nesketahin","388","2019-2023","35","poor","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," ","422 (210 - 1,027)","1,490 (609 - 2,033)"," ",""
"Northern Transboundary","Lake sockeye","Tahltan","10,746","2019-2023","30","fair","3.58","92.1","4.32"," "," "," "," "," "," "," "," "," "," ","9,305 (7,556 - 10,973)","12,674 (10,446 - 17,748)"," ",""
"Northern Transboundary","Lake sockeye","Tatsamenie","5,153","2019-2023","29","good","0.02","10","89.98"," "," "," "," "," "," "," "," "," "," ","1,937 (1,205 - 3,138)","4,628 (2,370 - 6,134)"," ",""
"Northern Transboundary","Lake sockeye","Whiting"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Pink (even)","Transboundary Fjords (even)"," ",""," "," ","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Pink (odd)","Transboundary Fjords (odd)"," ",""," "," ","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","River sockeye","Alsek (river-type)"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","River sockeye","Chilkat (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","River sockeye","Northern Transboundary Fjords (river-type)"," ",""," "," ","40.5","55.04","4.46"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Steelhead","Alsek Summer"," ",""," "," ","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Steelhead","Stikine Summer"," ",""," "," ","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Steelhead","Stikine Winter"," ",""," "," ","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Steelhead","Taku Summer"," ",""," "," ","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Northern Transboundary","Steelhead","Taku Winter"," ",""," "," ","58.24","41.66","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
