"region","species_name","cuid","cu_name_pse","exp","curr_spw","curr_spw_start_year","curr_spw_end_year","cu_enh_rank","psf_status","cosewic_status","cosewic_status_yr","wsp_status","wsp_status_yr","rollup_hi_pct","rollup_mod_pct","rollup_lo_pct"
"Central Coast","Chinook",511,"Wannock",0.37,5970,2017,2021,"Moderate","good",NA,NA,NA,NA,NA,0.449342677485728,0.550657322514272
"Central Coast","Chinook",512,"Bella Coola-Bentinck",0.38,10934,2017,2021,"High","good",NA,NA,NA,NA,0.393885984591047,0.244526060641021,0.361587954767932
"Central Coast","Chinook",513,"Dean River",0.17,730,2017,2021,"None","good",NA,NA,NA,NA,0.0744768156368614,0.443167331108146,0.482355853254993
"Central Coast","Chinook",514,"North & Central Coast-Late",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,0.106074913920925,0.893925086079075
"Central Coast","Chinook",515,"North & Central Coast-Early",0.17,900,2017,2021,"Moderate","good",NA,NA,NA,NA,0.131310624530563,0.283554414199028,0.585134961270409
"Central Coast","Coho",516,"Smith Inlet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,0.317663404178833,0.328081798910642,0.354254796910525
"Central Coast","Coho",517,"Rivers Inlet",NA,NA,NA,NA,"Moderate","data-deficient",NA,NA,NA,NA,0.0497654747859603,0.561804319252295,0.388430205961745
"Central Coast","Coho",518,"Bella Coola-Dean Rivers",0.24,16437,2018,2021,"Moderate","fair",NA,NA,NA,NA,0.502736254212024,0.396844126952983,0.100419618834994
"Central Coast","Coho",519,"Mussel-Kynoch",0.24,2443,2018,2021,"None","poor",NA,NA,NA,NA,NA,0.126470127074068,0.873529872925932
"Central Coast","Coho",520,"Hecate Strait Mainland",0.24,43587,2018,2021,"Moderate","fair",NA,NA,NA,NA,0.0537738600472142,0.16565374541327,0.780572394539516
"Central Coast","Coho",521,"Brim-Wahoo",0.24,5489,2018,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Coho",522,"Douglas Channel-Kitimat Arm",0.24,92022,2018,2021,"Moderate","good",NA,NA,NA,NA,0.276759141086172,0.336130551699439,0.387110307214389
"Central Coast","Coho",523,"Northern Coastal Streams",0.24,70257,2018,2021,"Low","good",NA,NA,NA,NA,0.0755455037437634,0.249020708911355,0.675433787344882
"Central Coast","Lake sockeye",524,"Long",NA,NA,NA,NA,"Low","data-deficient",NA,NA,NA,NA,NA,0.280397059144825,0.719602940855174
