cuid,cuname,cuindex,culabel,sppqualifiedid,SPECIES_QUALIFIED
969,Sproat,SEL-13-025,Sproat,1,SEL
970,William/Brink,SEL-13-026,William-Brink,1,SEL
971,Southern Fjords,SER-009,Southern Fjords (river-type),2,SER
972,West Vancouver Island,SER-010,West Vancouver Island (river-type),2,SER
973,East Vancouver Island and Georgia Strait,SER-008,East Vancouver Island & Georgia Strait (river-type),2,SER
974,NW Vancouver Island,SER-011,NW Vancouver Island (river-type),2,SER
976,Vernon,SEL-12-009,Vernon,1,SEL
977,Northwest Vancouver Island,CM-011,Northwest Vancouver Island,7,CM
978,Southwest & West  Vancouver Island,CM-010,Southwest & West Vancouver Island,7,CM
979,Upper Knight,CM-009,Upper Knight,7,CM
980,South Coast Winter,NULL,South Coast Winter,10,SH
981,East Vancouver Island Winter,NULL,East Vancouver Island Winter,10,SH
982,West Vancouver Island Winter,NULL,West Vancouver Island Winter,10,SH
983,South Coast Summer,NULL,South Coast Summer,10,SH
984,West Vancouver Island Summer,NULL,West Vancouver Island Summer,10,SH
985,East Vancouver Island Summer,NULL,East Vancouver Island Summer,10,SH
1000,Lynn Canal,NULL,Lynn Canal,7,CM
1001,Taku,NULL,Taku,7,CM
1002,Whiting,NULL,Whiting,7,CM
1003,Unuk,NULL,Unuk,7,CM
1004,Alsek,NULL,Alsek,5,CK
1005,Lynn Canal,NULL,Lynn Canal,5,CK
1006,Taku-Early Timing,NULL,Taku-Early Timing,5,CK
1007,Taku-Mid Timing,NULL,Taku-Mid Timing,5,CK
1008,Taku-Late Timing,NULL,Taku-Late Timing,5,CK
1009,Whiting,NULL,Whiting,5,CK
1010,Stikine-Early Timing,NULL,Stikine-Early Timing,5,CK
1011,Stikine-Late Timing,NULL,Stikine-Late Timing,5,CK
1012,Unuk,NULL,Unuk,5,CK
1013,Alsek River,NULL,Alsek,6,CO
1014,Lynn Canal,NULL,Lynn Canal,6,CO
1015,Taku-Late Timing,NULL,Taku-Late Timing,6,CO
1016,Whiting River,NULL,Whiting,6,CO
1017,Lower Stikine,NULL,Lower Stikine,6,CO
1018,Unuk River,NULL,Unuk,6,CO
1019,Transboundary Fjords,NULL,Transboundary Fjords (even),4,PKE
1020,Transboundary Fjords,NULL,Transboundary Fjords (odd),3,PKO
1021,Alsek River,NULL,Alsek (river-type),2,SER
1022,Chilkat River,NULL,Chilkat (river-type),2,SER
1023,Northern Transboundary Fjords,NULL,Northern Transboundary Fjords (river-type),2,SER
1024,Border,NULL,Border,1,SEL
1025,Christina,NULL,Christina,1,SEL
1026,Tahltan,NULL,Tahltan,1,SEL
1027,Kuthai,NULL,Kuthai,1,SEL
1028,Little Trapper,NULL,Little Trapper,1,SEL
1029,Tatsamenie,NULL,Tatsamenie,1,SEL
1031,Blanchard,NULL,Blanchard,1,SEL
1032,Lower Stikine,NULL,Lower Stikine,7,CM
1033,King Salmon,NULL,King Salmon,1,SEL
1034,Taku-Early Timing,NULL,Taku-Early Timing,6,CO
1035,Taku-Mid Timing,NULL,Taku-Mid Timing,6,CO
1036,Chutine,NULL,Chutine,1,SEL
1037,Whiting,NULL,Whiting,1,SEL
1038,Klukshu,NULL,Klukshu,1,SEL
1039,Nesketahin,NULL,Nesketahin,1,SEL
1080,Alsek Summer,NULL,Alsek Summer,10,SH
1081,Taku Summer,NULL,Taku Summer,10,SH
1082,Taku Winter,NULL,Taku Winter,10,SH
1083,Stikine Summer,NULL,Stikine Summer,10,SH
1084,Stikine Winter,NULL,Stikine Winter,10,SH
1201,Big Salmon,CK-70,Big Salmon,5,CK
1202,Nordenskiold,CK-71,Nordenskiold,5,CK
1203,Pelly,CK-72,Pelly,5,CK
1204,Middle Yukon River and tributaries,CK-73,Middle Yukon,5,CK
1205,Stewart,CK-74,Stewart,5,CK
1206,White and tributaries,CK-75,White,5,CK
1207,Northern Yukon River and tributaries,CK-76,Northern Yukon,5,CK
1208,Salmon Fork,CK-77,Salmon Fork,5,CK
1209,Porcupine (Chinook),CK-78,Porcupine,5,CK
1210,Old Crow,CK-79,Old Crow,5,CK
1211,Upper Yukon River,CK-69,Upper Yukon,5,CK
1212,Yukon River-Teslin headwaters,CK-68,Teslin,5,CK
1213,Middle Yukon,CM-42,Middle Yukon,7,CM
1214,N Yukon River,CM-43,North Yukon,7,CM
1215,White,CM-44,White,7,CM
1216,Donjek Kluane,CM-45,Donjek Kluane,7,CM
1217,Porcupine River (chum),CM-46,Porcupine,7,CM
1218,Stewart,CM-48,Stewart,7,CM
1219,Teslin,CM-38,Teslin,7,CM
1220,Porcupine River (coho),CO-46,Porcupine,6,CO
1300,Osoyoos,SEL-01-001,Osoyoos,1,SEL
1380,Mid Columbia Summer,NULL,Mid Columbia Summer,10,SH
